JYear,Buy-Ins-Count_mean,Sell-Ins-Count_mean,Buy-Ind-Count_mean,Sell-Ind-Count_mean,Buy-Ins-Count_std,Sell-Ins-Count_std,Buy-Ind-Count_std,Sell-Ind-Count_std
1387,0/83,1/00,7/30,11/05,1/34,2/13,21/44,26/43
1388,1/19,1/03,20/61,16/31,3/23,2/77,249/11,56/79
1389,1/52,1/15,25/91,23/07,3/80,2/88,196/45,78/62
1390,1/44,1/02,29/07,28/56,3/33,2/99,80/01,106/38
1391,1/52,1/11,33/93,33/04,3/70,2/98,98/46,125/00
1392,1/78,1/40,89/05,75/20,4/30,3/25,204/46,182/77
1393,1/06,0/78,52/87,53/90,2/08,2/27,243/52,228/56
1394,1/05,0/85,53/57,51/38,2/75,3/14,149/26,253/67
1395,1/17,0/94,63/25,63/99,2/25,3/66,187/89,356/09
1396,1/17,0/98,54/53,65/42,2/46,5/12,112/39,738/67
1397,1/52,1/44,118/54,138/37,3/86,5/52,272/10,1428/96
1398,2/18,2/08,416/10,390/26,4/43,5/21,739/01,2260/14
1399,2/85,2/71,1118/06,1391/25,7/61,7/50,3385/30,7630/27
1400,1/88,1/67,316/44,716/61,2/79,4/50,842/10,7246/42
1401,2/15,1/81,244/23,293/90,2/92,2/91,480/03,1854/82
all,1/69,1/46,242/48,306/52,3/98,4/52,1182/65,3394/33
